neighbourhood_cleansed,latitude,longitude,property_type,room_type,price,number_of_reviews,review_scores_rating
Seacliff,37.78733113,-122.4921169,House,Private room,120.00,15,95
Seacliff,37.78070781,-122.50916,Apartment,Entire home/apt,1850.00,0,
Seacliff,37.78766423,-122.4891522,House,Entire home/apt,895.00,0,
Seacliff,37.78792334,-122.484357,House,Entire home/apt,975.00,0,
Seacliff,37.78436456,-122.4895147,Apartment,Entire home/apt,295.00,40,92
Seacliff,37.77523613,-122.5091375,House,Entire home/apt,159.00,332,98
Seacliff,37.78648098,-122.4886825,House,Entire home/apt,750.00,7,97
Seacliff,37.78037525,-122.5059029,Apartment,Entire home/apt,169.00,4,100
Seacliff,37.77706907,-122.5092319,Apartment,Entire home/apt,170.00,6,92
Seacliff,37.77931904,-122.5096352,Apartment,Entire home/apt,183.00,142,96
Seacliff,37.78548686,-122.4880113,House,Private room,195.00,0,
Seacliff,37.78156409,-122.4944245,Apartment,Private room,95.00,58,96
Seacliff,37.78623451,-122.4934172,House,Entire home/apt,5000.00,2,100
Seacliff,37.78703531,-122.4932154,House,Private room,1995.00,0,
Seacliff,37.78261313,-122.4945522,House,Entire home/apt,280.00,5,88
Seacliff,37.78161681,-122.495435,Apartment,Entire home/apt,180.00,15,99
Seacliff,37.78023429,-122.5066545,House,Private room,123.00,1,100
Seacliff,37.78454706,-122.4882697,Apartment,Entire home/apt,150.00,4,80
Seacliff,37.77984146,-122.5054831,House,Private room,85.00,27,99
Seacliff,37.78065902,-122.5056348,House,Private room,89.00,66,93
Seacliff,37.78667508,-122.4931617,House,Private room,135.00,104,99
Seacliff,37.78342478,-122.492879,Other,Entire home/apt,98.00,12,97
Seacliff,37.78388809,-122.5085568,House,Entire home/apt,120.00,255,93
Seacliff,37.78017692,-122.5086041,Apartment,Private room,74.00,8,95
Seacliff,37.78344216,-122.4925496,Apartment,Entire home/apt,175.00,7,100
Seacliff,37.78227777,-122.4927843,Apartment,Entire home/apt,195.00,38,99
Haight Ashbury,37.76594461,-122.4462418,House,Private room,100.00,0,
Haight Ashbury,37.76081178,-122.4471165,House,Private room,125.00,27,98
Haight Ashbury,37.7695142,-122.4387244,Apartment,Private room,105.00,5,100
Haight Ashbury,37.76746465,-122.4448272,House,Entire home/apt,185.00,191,96
Haight Ashbury,37.76948204,-122.4465096,Apartment,Entire home/apt,380.00,37,97
Haight Ashbury,37.7672171,-122.4501084,House,Private room,60.00,109,99
Haight Ashbury,37.76630984,-122.4516006,Apartment,Private room,130.00,39,98
Haight Ashbury,37.77159191,-122.4456651,House,Private room,200.00,0,
Haight Ashbury,37.76872761,-122.4515732,Apartment,Private room,100.00,96,99
Haight Ashbury,37.76356536,-122.4511952,Apartment,Private room,90.00,11,100
Haight Ashbury,37.77044934,-122.4526376,Apartment,Private room,50.00,7,90
Haight Ashbury,37.77432895,-122.4389409,Apartment,Private room,200.00,0,
Haight Ashbury,37.76457288,-122.4505395,Apartment,Entire home/apt,190.00,50,93
Haight Ashbury,37.76734387,-122.4488915,Apartment,Entire home/apt,175.00,0,
Haight Ashbury,37.77284986,-122.4471225,Apartment,Private room,100.00,0,
Haight Ashbury,37.77037871,-122.449475,Bed & Breakfast,Private room,150.00,44,95
Haight Ashbury,37.76193577,-122.4492861,Apartment,Entire home/apt,300.00,83,94
Haight Ashbury,37.76917574,-122.4500037,Apartment,Entire home/apt,169.00,102,92
Haight Ashbury,37.77224745,-122.4499968,Apartment,Private room,130.00,0,
Haight Ashbury,37.77367759,-122.4494324,Apartment,Private room,64.00,6,100
Haight Ashbury,37.76875414,-122.4489017,Apartment,Entire home/apt,600.00,51,98
Haight Ashbury,37.77394374,-122.4481871,Apartment,Private room,85.00,0,
Haight Ashbury,37.77033057,-122.4505299,Bed & Breakfast,Private room,150.00,24,95
Haight Ashbury,37.7716176,-122.438362,Apartment,Private room,79.00,133,95
Haight Ashbury,37.77612045,-122.4404803,Apartment,Entire home/apt,240.00,36,99
