neighbourhood_cleansed,avg_review
Diamond Heights,97.93333333333334
Presidio,96.5
Castro/Upper Market,96.47743467933492
Twin Peaks,96.3875
Potrero Hill,96.2394366197183
Presidio Heights,96.15625
West of Twin Peaks,96.12380952380953
Noe Valley,96.10385756676558
Treasure Island/YBI,96.0909090909091
Outer Mission,95.63694267515923
Seacliff,95.61904761904762
Mission,95.46270396270397
Bernal Heights,95.42025316455697
Western Addition,95.4066985645933
Glen Park,95.37349397590361
Pacific Heights,95.34285714285714
Marina,95.31223628691983
Inner Sunset,95.14864864864865
Russian Hill,94.98295454545455
South of Market,94.87583148558758
Outer Richmond,94.74342105263158
Haight Ashbury,94.64285714285714
Visitacion Valley,94.53846153846153
Inner Richmond,94.48106060606061
Lakeshore,94.41463414634147
Financial District,94.38297872340425
North Beach,94.32374100719424
Outer Sunset,93.98790322580645
Parkside,93.88235294117646
Nob Hill,93.75877192982456
Ocean View,93.70297029702971
Excelsior,93.14285714285714
Golden Gate Park,92.5
Downtown/Civic Center,92.13253012048193
Bayview,92.0672268907563
Chinatown,91.95945945945945
Crocker Amazon,91.52631578947368
